ID,total_pop,med_wage,sqmi,pop_density,ed_2_above_req_percent,IND,NATIVITY
603775,49203,94971.2,31.61586328,1556.275708,0.206410178,1,0
603776,42461,71228.4,7.736994213,5488.048567,0.177951532,1,0
603778,44600,43412.32,9.166026376,4865.794421,0.119394619,1,0
603779,51623,78142.176,18.89815652,2731.642102,0.148151018,1,0
603780,50930,47485.6,10.08947042,5047.836792,0.119634793,1,0
603781,41755,43412.32,10.11493053,4128.056033,0.108945037,1,0
603782,52625,40156.396,11.00393028,4782.382173,0.091078385,1,0
603900,49046,42440.255,2153.230516,22.77786778,0.065204094,1,0
604103,34731,84579.917,473.9696894,73.27683769,0.172353229,1,0
604104,54673,107445.492,53.87230584,1014.862816,0.180948549,1,0
604701,37796,41549.9,1536.563406,24.59774836,0.054265002,1,0
604702,55577,41549.9,442.0806478,125.7168806,0.082660093,1,0
605301,60202,59267.444,514.2589424,117.0655385,0.158865154,1,0
605302,62085,40571.475,175.4813375,353.7983063,0.063590239,1,0
605303,51883,50975.9,4015.443792,12.92086322,0.075458243,1,0
605500,52222,63755.175,786.555789,66.39325618,0.151162345,1,0
605700,31814,59357,1935.952251,16.43325655,0.138303891,1,0
605906,77403,65118.48,53.96918221,1434.207391,0.160923995,1,0
605907,76780,56982.72,29.84376646,2572.731565,0.130294347,1,0
605908,68242,65118.48,34.91245923,1954.660356,0.143269541,1,0
605909,58769,43412.32,14.16633116,4148.498248,0.114533172,1,0
605912,64888,46061.032,18.81773098,3448.237201,0.117201948,1,0
605913,64209,42327.012,14.88819806,4312.744883,0.125527574,1,0
605914,78725,75347.025,29.65036431,2655.110716,0.151616386,1,0
605916,60198,39071.088,12.57830074,4785.861083,0.075999203,1,0
605917,66372,37985.78,13.47690922,4924.868077,0.080455614,1,0
605918,77004,65118.48,26.15859848,2943.735692,0.160017661,1,0
605919,85654,48308.48,30.0494283,2850.436925,0.124442525,1,0
605920,59550,61171.08,27.08844898,2198.353994,0.141628883,1,0
605921,60121,75971.56,132.9235456,452.297595,0.172385689,1,0
605922,57555,69551.1,24.1667238,2381.580577,0.138059248,1,0
605923,56150,82483.408,16.03554353,3501.596307,0.169670525,1,0
605924,45320,72462.72,34.70763849,1305.764436,0.15951015,1,0
605925,62148,86955.264,58.77700823,1057.352218,0.17889554,1,0
605926,43710,81398.1,22.8120664,1916.091214,0.155753832,1,0
605927,44799,97677.72,152.1163566,294.5048186,0.160762517,1,0
605928,66343,81142.95,50.45598571,1314.868773,0.185957825,1,0
606101,64266,77665.395,137.6897575,466.7449574,0.143761865,1,0
606102,49204,78142.176,75.13482148,654.8761151,0.139927648,1,0
606103,39996,70041.26,1289.405358,31.01894974,0.147489749,1,0
606501,64452,35683.13,4370.88039,14.7457707,0.062713337,1,0
606502,40657,52895.9752,695.9165966,58.42223077,0.115896402,1,0
606507,58885,48838.86,340.601538,172.8853027,0.094319436,1,0
606509,51025,42269.92,169.9984727,300.1497554,0.080607545,1,0
606511,68965,41800.238,34.29468992,2010.952721,0.086232147,1,0
606514,72074,48838.86,61.9537552,1163.351596,0.097358271,1,0
606515,46593,47485.6,643.4451549,72.41176601,0.117893246,1,0
606516,40729,49852.4175,155.4577429,261.9940264,0.100247981,1,0
606517,42441,52094.784,58.83038357,721.4129405,0.102188921,1,0
606518,40280,42327.012,52.70992581,764.1824454,0.09225422,1,0
606519,40268,42085.9238,56.0592799,718.3110463,0.083987285,1,0
606520,60393,47485.6,59.96087209,1007.206832,0.108770884,1,0
606521,42933,60385.6,91.65831432,468.4026792,0.123098782,1,0
606522,55862,52073.5856,36.85794135,1515.602824,0.11154273,1,0
606523,51069,63078.99,228.6719723,223.3286375,0.127611663,1,0
606524,68886,57959.25,121.3809228,567.5191654,0.10621897,1,0
606525,44608,43356.8608,124.4628419,358.4041576,0.093324067,1,0
606701,44570,51583.7325,18.80230704,2370.453791,0.10590083,1,0
606703,42785,65216.448,26.88043952,1591.677843,0.129508005,1,0
606704,51254,43477.632,25.31786571,2024.420249,0.093007375,1,0
606705,53841,62595.99,62.83956257,856.8009992,0.127690793,1,0
606706,45319,47917.346,36.82150581,1230.775304,0.092146782,1,0
606707,59069,69551.1,26.34065709,2242.502903,0.151382282,1,0
606709,58365,48936.864,22.99644608,2538.000863,0.11924955,1,0
606712,45503,86824.64,44.61830077,1019.828169,0.143726787,1,0
606713,42289,55640.88,27.71581604,1525.807501,0.139681714,1,0
606714,53192,41549.9,22.89255146,2323.550527,0.103342608,1,0
606715,42022,67260.459,23.34186156,1800.284861,0.131526343,1,0
606716,41161,57970.176,20.9149563,1968.0175,0.109934161,1,0
606717,38881,60385.6,634.7974148,61.24946179,0.12733726,1,0
607101,37659,42889.845,17963.28906,2.096442354,0.093682785,1,0
607102,58041,40571.475,332.2956329,174.6667553,0.072069744,1,0
607103,55754,43412.32,194.5392694,286.595093,0.063672562,1,0
607104,40026,54347.04,1149.359382,34.82461676,0.095762754,1,0
607105,56727,56982.72,94.67214171,599.1942189,0.113314647,1,0
607107,39527,40156.396,28.7217562,1376.204147,0.077187745,1,0
607108,62653,36231.36,35.03816559,1788.13585,0.060795173,1,0
607110,41844,40362.76,20.5062325,2040.550355,0.074658254,1,0
607111,70292,61171.08,41.66943279,1686.896012,0.13748364,1,0
607112,52580,51047.02,24.69724203,2128.982659,0.107759604,1,0
607115,50348,48079.17,28.56655679,1762.480525,0.102605863,1,0
607116,44737,43412.32,41.96227209,1066.124349,0.105438451,1,0
607117,43143,43412.32,22.99027052,1876.57644,0.086085808,1,0
607118,75401,42819.756,50.68967865,1487.502032,0.103553003,1,0
607119,68000,59357,76.15724705,892.8894181,0.140470588,1,0
607301,66069,48308.48,253.4660849,260.6620922,0.110430005,1,0
607302,37960,50975.9,2698.004576,14.06965738,0.123498419,1,0
607306,52276,48738.6674,102.7571982,508.7332169,0.101327569,1,0
607307,41836,60277.62,247.8446559,168.7992821,0.092049909,1,0
607308,49330,94971.2,66.05377336,746.8157759,0.178937766,1,0
607310,68418,76463.85,42.05719967,1626.784487,0.211698676,1,0
607311,51857,101951.8,38.97893988,1330.385079,0.190176832,1,0
607312,50154,62698.507,41.66639445,1203.703864,0.189994816,1,0
607313,67507,54265.4,39.30847822,1717.36488,0.119972744,1,0
607314,62288,71228.4,58.85749909,1058.284857,0.146207937,1,0
607315,73506,66424.16,32.28432664,2276.832372,0.151905967,1,0
607316,90633,69327.224,16.91194727,5359.110844,0.165624,1,0
607317,70429,46582.578,15.81295148,4453.880738,0.129463715,1,0
607322,50999,43412.32,46.17137531,1104.558824,0.088354674,1,0
607323,45869,46367.4,45.90626256,999.1882903,0.115481044,1,0
607324,48422,85639.512,41.50219893,1166.73336,0.186217009,1,0
607325,48893,59984.78,46.07110475,1061.25087,0.124925859,1,0
607326,65800,91287.826,88.46230741,743.8196213,0.211322188,1,0
607327,55694,42269.92,16.82112806,3310.955116,0.09733544,1,0
607328,47933,54265.4,217.5291581,220.3520687,0.121753281,1,0
607329,67214,64105.56,57.56870314,1167.544105,0.148793406,1,0
607330,65271,41241.704,23.34996554,2795.336031,0.09589251,1,0
607507,42938,57970.176,8.749521915,4907.468136,0.153966184,1,0
607508,45551,104326.65,8.481233679,5370.798839,0.186889421,1,0
607509,52170,98530.725,3.465318614,15054.89273,0.178282538,1,0
607510,56415,118714,4.594418533,12279.02935,0.172330054,1,0
607511,68125,130585.4,4.989383577,13653.99131,0.16933578,1,0
607512,44442,93784.06,5.530349856,8036.019629,0.18563521,1,0
607513,43342,83215.964,8.566590871,5059.422196,0.163144294,1,0
607514,53230,120303.124,3.20313347,16618.1024,0.203437911,1,0
607705,71467,45893.056,47.14545407,1515.883162,0.097317643,1,0
607706,59900,38805.5955,48.52002805,1234.541743,0.059649416,1,0
607707,50962,61171.08,236.3379042,215.6319367,0.120972489,1,0
607708,57399,50723.904,984.5942364,58.29711152,0.084217495,1,0
607709,47323,55718.23,110.1408624,429.6588838,0.088794033,1,0
607901,61194,49924.168,580.1182608,105.4853883,0.133411772,1,0
607902,38601,57959.25,2742.470846,14.07526357,0.116577291,1,0
608101,62704,69551.1,25.33633212,2474.864937,0.161265629,1,0
608102,53675,76463.85,26.26548004,2043.556787,0.173768048,1,0
608103,44344,112146.98,18.94281985,2340.939752,0.192427386,1,0
608104,53400,121846.6685,290.7675361,183.651864,0.178164794,1,0
608105,59535,128262.806,32.31826755,1842.147012,0.182228941,1,0
608106,43990,97677.72,60.11751844,731.7334637,0.170470561,1,0
608301,48492,38741.684,35.73971687,1356.809853,0.069887817,1,0
608302,35029,48838.86,2363.557817,14.82045404,0.081989209,1,0
608303,77554,57959.25,349.0542927,222.1832008,0.154885628,1,0
608505,43536,60464.87,28.76126519,1513.702534,0.106486586,1,0
608506,47966,73603.12,836.1862157,57.36282074,0.107701288,1,0
608507,53857,166052.124,103.3648091,521.0380638,0.20073528,1,0
608508,58146,112778.3,15.41729774,3771.478049,0.180700306,1,0
608510,68562,70545.02,19.16540038,3577.384174,0.130611709,1,0
608511,46284,91756.62,12.87009325,3596.24434,0.152406879,1,0
608512,48695,109216.88,38.73798617,1257.034885,0.165520074,1,0
608515,36345,139102.2,70.45437788,515.8657431,0.208226716,1,0
608516,80214,130465.6,17.01786475,4713.517305,0.164696936,1,0
608517,64033,118714,18.14192906,3529.558504,0.171583402,1,0
608518,48459,91756.62,21.16194042,2289.912883,0.161910068,1,0
608519,84755,80312.792,45.23065163,1873.839906,0.146068079,1,0
608520,47472,71366.26,33.01451645,1437.912928,0.128559993,1,0
608521,55055,55554.752,13.47814202,4084.761825,0.11893561,1,0
608522,52767,148392.5,25.75854983,2048.523708,0.179695643,1,0
608701,54135,61171.08,406.6410683,133.1272324,0.092398633,1,0
608702,47111,62918.42,39.65611064,1187.988414,0.166245675,1,0
608900,59122,48838.86,3847.380728,15.36681815,0.093298603,1,0
609501,56742,59154.966,70.67082391,802.9055961,0.124669557,1,0
609502,58754,54426.3535,218.9303667,268.3684355,0.101525003,1,0
609503,51128,65118.48,555.759078,91.99669789,0.11275622,1,0
609702,51396,65292.7,134.5290194,382.0439652,0.132967546,1,0
609704,41886,65118.48,1136.028756,36.87054556,0.136226902,1,0
609705,41840,55796.2944,47.62670052,878.4988156,0.096152008,1,0
609706,50281,64105.56,270.6584621,185.7728726,0.139535809,1,0
609901,44878,46298.46,762.995168,58.81819687,0.065043005,1,0
609902,41294,44858.792,28.12876607,1468.034534,0.069913305,1,0
609903,67537,50975.9,701.9852492,96.20857429,0.098508965,1,0
609904,42455,52045.101,20.79880891,2041.222658,0.0928277,1,0
610100,60060,48308.48,1252.417415,47.95525779,0.09049284,1,0
610701,54654,48685.77,136.458013,400.5188028,0.073937864,1,0
610702,53837,40156.396,403.9894961,133.2633658,0.069450378,1,0
610703,48852,36513.5193,4297.818805,11.36669604,0.070007369,1,0
611102,53773,79227.484,85.49754662,628.9420238,0.201532368,1,0
611103,76253,40571.475,27.97206627,2726.041018,0.083000013,1,0
611104,50694,60385.6,48.9841777,1034.905604,0.12916716,1,0
611107,40389,44685.344,1413.142799,28.5809757,0.115823615,1,0
611108,52748,63351.5195,84.58307419,623.6235855,0.142375066,1,0
611109,46896,61171.08,195.0497854,240.4309233,0.124957352,1,0
611301,37872,59177.888,852.5382423,44.42264068,0.120669624,1,0
611302,47489,57093.008,171.0234949,277.6752985,0.134473246,1,0
800100,43843,54265.4,13297.62682,3.297054474,0.140250439,1,0
800200,55766,56599.24,6774.761192,8.231434056,0.224509558,1,0
800301,44471,56436.016,2419.617599,18.37935053,0.166535495,1,0
800302,63773,54265.4,99.80147409,638.9985777,0.16310978,1,0
800303,46767,56073.49,114.5589796,408.2351306,0.159471422,1,0
800401,41879,84539.84,1577.220919,26.55239954,0.179230641,1,0
800501,52996,65292.7,129.4559147,409.3748835,0.147841347,1,0
800502,53186,55350.708,73.76807335,720.9894143,0.183112097,1,0
800601,76396,78426.26,106.4768193,717.4895015,0.164511231,1,0
800701,56758,71228.4,42.62150326,1331.675226,0.139187427,1,0
800702,56770,60277.62,38.85647125,1461.017899,0.144548177,1,0
800703,66733,66268.67,47.10727807,1416.617617,0.145849879,1,0
800801,58251,83099.8,109.5594893,531.6837489,0.16573106,1,0
800901,56906,89717.584,665.3256163,85.53105217,0.155220891,1,0
